,MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,ALAND,AWATER,NAME,pop,state,county,sq_miles,density,pop_mil
0,20230425,2013,Aleutians East Borough,AK,"7,023.57",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,18091255385.0,20800268276.0,"Aleutians East Borough, Alaska",3425.0,02,013,6985.040689189189,0.49033357891542473,0.003425
1,20230425,2016,Aleutians West Census Area,AK,"4,431.60",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,11375510886.0,25186009907.0,"Aleutians West Census Area, Alaska",5750.0,02,016,4392.089145173745,1.3091719703181337,0.00575
2,20230425,2020,Anchorage Municipality,AK,"1,728.31",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,4419562836.0,615500204.0,"Anchorage Municipality, Alaska",296112.0,02,020,1706.3949173745173,173.53075597271587,0.296112
3,20230425,2050,Bethel Census Area,AK,"41,731.43",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,105228817205.0,12768645652.0,"Bethel Census Area, Alaska",18040.0,02,050,40628.886951737455,0.4440190552458277,0.01804
4,20230425,2060,Bristol Bay Borough,AK,509.71,0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,1248324005.0,949768219.0,"Bristol Bay Borough, Alaska",890.0,02,060,481.97838030888033,1.8465558547037633,0.00089
5,20230425,2063,Chugach Census Area,AK,"9,719.69",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,,,,,,,,,
6,20230425,2066,Copper River Census Area,AK,"25,161.92",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,,,,,,,,,
7,20230425,2068,Denali Borough,AK,"12,666.54",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,32729577065.0,66105677.0,"Denali Borough, Alaska",2232.0,02,068,12636.902341698842,0.17662556373763516,0.002232
8,20230425,2070,Dillingham Census Area,AK,"18,899.76",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,47478023796.0,5950680491.0,"Dillingham Census Area, Alaska",4975.0,02,070,18331.28331891892,0.27139398335879295,0.004975
9,20230425,2090,Fairbanks North Star Borough,AK,"7,434.94",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,18983364355.0,273047179.0,"Fairbanks North Star Borough, Alaska",99653.0,02,090,7329.4843069498065,13.596181644799916,0.099653
10,20230425,2100,Haines Borough,AK,"2,387.85",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,6059513753.0,1051059522.0,"Haines Borough, Alaska",2518.0,02,100,2339.5805996138997,1.0762612753822394,0.002518
11,20230425,2105,Hoonah-Angoon Census Area,AK,"6,526.98",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,16981566503.0,7801359160.0,"Hoonah-Angoon Census Area, Alaska",2132.0,02,105,6556.589383397683,0.3251690589925548,0.002132
12,20230425,2110,Juneau City and Borough,AK,"2,774.95",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,7002973758.0,1426663852.0,"Juneau City and Borough, Alaska",32330.0,02,110,2703.850871814672,11.957020387852209,0.03233
13,20230425,2122,Kenai Peninsula Borough,AK,"16,416.28",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,41500185165.0,22525337842.0,"Kenai Peninsula Borough, Alaska",58220.0,02,122,16023.237515444016,3.633472944770655,0.05822
14,20230425,2130,Ketchikan Gateway Borough,AK,"4,904.36",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,12579243763.0,4651750442.0,"Ketchikan Gateway Borough, Alaska",13804.0,02,130,4856.850873745174,2.842170854909444,0.013804
15,20230425,2150,Kodiak Island Borough,AK,"6,764.62",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,17133720200.0,14166823224.0,"Kodiak Island Borough, Alaska",13649.0,02,150,6615.335984555984,2.063236097435512,0.013649
