MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20230425,02013,Aleutians East Borough,AK,"7,023.57",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,2
20230425,02016,Aleutians West Census Area,AK,"4,431.60",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,2
20230425,02020,Anchorage Municipality,AK,"1,728.31",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,2
20230425,02050,Bethel Census Area,AK,"41,731.43",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,2
20230425,02060,Bristol Bay Borough,AK,509.71,0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,2
20230425,02063,Chugach Census Area,AK,"9,719.69",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,2
20230425,02066,Copper River Census Area,AK,"25,161.92",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,2
20230425,02068,Denali Borough,AK,"12,666.54",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,2
20230425,02070,Dillingham Census Area,AK,"18,899.76",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,2
20230425,02090,Fairbanks North Star Borough,AK,"7,434.94",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,2
20230425,02100,Haines Borough,AK,"2,387.85",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,2
20230425,02105,Hoonah-Angoon Census Area,AK,"6,526.98",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,2
20230425,02110,Juneau City and Borough,AK,"2,774.95",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,2
20230425,02122,Kenai Peninsula Borough,AK,"16,416.28",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,2
20230425,02130,Ketchikan Gateway Borough,AK,"4,904.36",0.00,0.00,0.00,0.00,0.00,2023-04-25,2023-05-01,2
