,Population,state,county,FIPS
0,4211,30,061,30061
1,432,30,069,30069
2,6861,30,077,30077
3,11521,30,089,30089
4,1175,30,109,30109
5,104729,30,031,30031
6,67046,48,409,48409
7,132475,48,381,48381
8,5962,48,411,48411
9,3061,48,413,48413
10,12131,48,507,48507
11,21807,48,057,48057
12,1408,48,155,48155
13,7531,48,175,48175
14,8269,48,193,48193
15,8558,48,335,48335
16,32730,48,449,48449
17,19941,48,285,48285
18,12615,48,445,48445
19,64639,48,497,48497
20,36743,48,321,48321
21,15797,48,371,48371
22,93642,48,397,48397
23,136348,48,441,48441
24,1567,48,447,48447
25,71539,48,471,48471
26,43815,48,499,48499
27,24763,48,007,48007
28,2904,48,079,48079
29,3275,48,081,48081
30,75389,48,099,48099
31,4061,48,211,48211
32,21801,48,341,48341
33,120899,48,375,48375
34,8327,48,405,48405
35,3311,48,417,48417
36,63894,48,427,48427
37,3634,48,461,48461
38,37834,48,049,48049
39,3074,48,191,48191
40,10679,48,159,48159
41,19394,48,163,48163
42,20640,48,281,48281
43,26911,50,019,50019
44,6965,50,013,50013
45,162052,50,007,50007
46,25268,50,015,50015
47,49025,50,011,50011
48,30425,50,005,50005
49,43150,50,025,50025
50,35920,50,003,50003
51,36939,50,001,50001
52,6208,50,009,50009
53,58477,50,023,50023
54,12733,49,027,49027
55,65185,49,045,49045
56,160537,49,053,49053
57,7350,49,025,49025
58,40511,49,043,49043
59,9616,49,019,49019
60,1904,49,031,49031
61,2350,49,033,49033
62,30523,49,051,49051
63,6443,49,001,49001
64,53001,49,003,49003
65,49691,49,021,49021
66,11228,13,005,13005
67,18561,13,025,13025
68,17154,13,017,13017
69,22550,13,033,13033
70,66299,13,047,13047
71,10767,13,053,13053
72,24817,13,055,13055
73,147295,13,073,13073
74,26833,13,087,13087
75,96824,13,115,13115
76,219880,13,117,13117
77,44289,13,137,13137
78,25631,13,147,13147
79,114582,13,185,13185
80,14120,13,191,13191
81,21113,13,199,13199
82,33207,19,125,19125
83,22143,19,183,19183
84,12804,19,197,19197
85,13191,19,029,19029
86,11468,19,035,19035
87,17132,19,047,19047
88,39600,19,057,19057
89,19929,19,065,19065
90,14143,19,085,19085
91,15075,19,109,19109
92,14957,19,129,19129
93,8796,19,133,19133
94,42950,19,139,19139
95,6115,19,143,19143
96,474274,19,153,19153
97,36757,19,187,19187
98,96922,19,169,19169
99,102398,19,193,19193
100,133009,19,013,19013
101,12341,19,075,19075
102,20568,19,105,19105
103,10631,19,131,19131
104,10155,19,137,19137
105,9868,19,161,19161
106,25039,19,149,19149
107,21125,19,019,19019
108,47218,19,045,19045
109,8044,19,053,19053
110,18077,19,101,19101
111,13880,19,005,19005
112,222121,19,113,19113
113,84002,19,049,19049
114,13911,19,141,19141
115,2063,20,187,20187
116,4261,20,119,20119
117,32970,20,125,20125
118,9582,20,151,20151
119,2509,20,153,20153
120,7852,20,003,20003
121,6293,20,053,20053
122,34895,20,061,20061
123,34484,20,057,20057
